Validation error, mini-batch count, D/T.
0.322588, 25700, 2018-03-09 13:35:41.
0.323994, 25750, 2018-03-09 13:36:04.
0.327877, 25800, 2018-03-09 13:36:26.
0.326083, 25850, 2018-03-09 13:36:49.
0.323427, 25900, 2018-03-09 13:37:11.
0.325588, 25950, 2018-03-09 13:37:34.
0.324129, 26000, 2018-03-09 13:37:57.
0.325931, 26050, 2018-03-09 13:38:20.
0.325754, 26100, 2018-03-09 13:38:42.
0.324956, 26150, 2018-03-09 13:39:05.
0.323243, 26200, 2018-03-09 13:39:28.
0.325199, 26250, 2018-03-09 13:39:50.
0.325081, 26300, 2018-03-09 13:40:13.
0.322862, 26350, 2018-03-09 13:40:36.
0.322681, 26400, 2018-03-09 13:40:58.
0.324505, 26450, 2018-03-09 13:41:21.
0.323837, 26500, 2018-03-09 13:41:44.
0.32238, 26550, 2018-03-09 13:42:09.
0.321984, 26600, 2018-03-09 13:42:34.
0.323018, 26650, 2018-03-09 13:42:57.
0.323862, 26700, 2018-03-09 13:43:19.
0.324539, 26750, 2018-03-09 13:43:42.
0.324695, 26800, 2018-03-09 13:44:05.
0.322538, 26850, 2018-03-09 13:44:27.
0.323675, 26900, 2018-03-09 13:44:50.
0.325231, 26950, 2018-03-09 13:45:12.
0.323383, 27000, 2018-03-09 13:45:35.
0.325128, 27050, 2018-03-09 13:45:58.
0.323212, 27100, 2018-03-09 13:46:20.
0.323357, 27150, 2018-03-09 13:46:43.
0.323173, 27200, 2018-03-09 13:47:06.
0.324004, 27250, 2018-03-09 13:47:28.
0.323873, 27300, 2018-03-09 13:47:51.
0.323809, 27350, 2018-03-09 13:48:13.
0.323862, 27400, 2018-03-09 13:48:36.
0.323814, 27450, 2018-03-09 13:48:59.
0.322961, 27500, 2018-03-09 13:49:21.
0.323885, 27550, 2018-03-09 13:49:43.
0.323998, 27600, 2018-03-09 13:50:05.
0.323605, 27650, 2018-03-09 13:50:27.
0.323714, 27700, 2018-03-09 13:50:49.
0.323782, 27750, 2018-03-09 13:51:11.
0.322846, 27800, 2018-03-09 13:51:33.
0.322881, 27850, 2018-03-09 13:51:55.
0.32361, 27900, 2018-03-09 13:52:18.
0.323942, 27950, 2018-03-09 13:52:40.
0.322861, 28000, 2018-03-09 13:53:03.
0.324476, 28050, 2018-03-09 13:53:25.
0.325585, 28100, 2018-03-09 13:53:47.
0.324412, 28150, 2018-03-09 13:54:09.
0.325273, 28200, 2018-03-09 13:54:32.
0.323665, 28250, 2018-03-09 13:54:54.
0.323417, 28300, 2018-03-09 13:55:16.
0.325475, 28350, 2018-03-09 13:55:40.
0.324071, 28400, 2018-03-09 13:56:07.
0.324539, 28450, 2018-03-09 13:56:32.
0.323701, 28500, 2018-03-09 13:56:58.
0.322405, 28550, 2018-03-09 13:57:24.
0.322674, 28600, 2018-03-09 13:57:50.
0.322022, 28650, 2018-03-09 13:58:16.
0.322185, 28700, 2018-03-09 13:58:42.
0.325192, 28750, 2018-03-09 13:59:06.
0.324497, 28800, 2018-03-09 13:59:28.
0.323407, 28850, 2018-03-09 13:59:51.
0.324099, 28900, 2018-03-09 14:00:13.
0.32239, 28950, 2018-03-09 14:00:35.
0.322262, 29000, 2018-03-09 14:00:58.
