Validation error, mini-batch count, D/T.
0.119815, 25650, 2018-03-10 14:40:07.
0.120346, 25700, 2018-03-10 14:41:59.
0.119313, 25750, 2018-03-10 14:43:52.
0.118656, 25800, 2018-03-10 14:45:45.
0.119111, 25850, 2018-03-10 14:47:37.
0.127981, 25900, 2018-03-10 14:49:32.
0.120066, 25950, 2018-03-10 14:51:25.
0.121878, 26000, 2018-03-10 14:53:21.
0.11905, 26050, 2018-03-10 14:55:14.
0.121393, 26100, 2018-03-10 14:57:09.
0.120843, 26150, 2018-03-10 14:59:00.
0.118585, 26200, 2018-03-10 15:00:55.
0.119242, 26250, 2018-03-10 15:02:50.
0.127707, 26300, 2018-03-10 15:04:44.
0.124391, 26350, 2018-03-10 15:06:37.
0.122872, 26400, 2018-03-10 15:08:31.
0.121499, 26450, 2018-03-10 15:10:21.
0.12046, 26500, 2018-03-10 15:12:13.
0.12121, 26550, 2018-03-10 15:14:09.
0.119722, 26600, 2018-03-10 15:16:06.
0.120835, 26650, 2018-03-10 15:18:01.
0.119546, 26700, 2018-03-10 15:19:53.
0.11951, 26750, 2018-03-10 15:21:44.
0.121072, 26800, 2018-03-10 15:23:39.
0.119415, 26850, 2018-03-10 15:25:32.
0.119353, 26900, 2018-03-10 15:27:24.
0.121189, 26950, 2018-03-10 15:29:20.
0.119779, 27000, 2018-03-10 15:31:13.
0.142469, 27050, 2018-03-10 15:33:06.
0.124313, 27100, 2018-03-10 15:35:00.
0.120702, 27150, 2018-03-10 15:36:53.
0.120147, 27200, 2018-03-10 15:38:44.
0.120153, 27250, 2018-03-10 15:40:37.
0.118571, 27300, 2018-03-10 15:42:31.
0.120477, 27350, 2018-03-10 15:44:24.
0.118658, 27400, 2018-03-10 15:46:21.
0.120256, 27450, 2018-03-10 15:48:18.
0.11868, 27500, 2018-03-10 15:50:08.
0.119683, 27550, 2018-03-10 15:51:58.
0.118206, 27600, 2018-03-10 15:53:55.
0.118227, 27650, 2018-03-10 15:55:47.
0.120122, 27700, 2018-03-10 15:57:39.
0.119138, 27750, 2018-03-10 15:59:30.
0.119116, 27800, 2018-03-10 16:01:23.
0.123384, 27850, 2018-03-10 16:03:17.
0.120707, 27900, 2018-03-10 16:05:13.
0.118894, 27950, 2018-03-10 16:07:08.
0.118372, 28000, 2018-03-10 16:09:02.
0.118885, 28050, 2018-03-10 16:10:55.
0.119663, 28100, 2018-03-10 16:12:48.
0.119244, 28150, 2018-03-10 16:14:43.
0.122352, 28200, 2018-03-10 16:16:34.
0.118768, 28250, 2018-03-10 16:18:26.
0.118411, 28300, 2018-03-10 16:20:17.
0.118461, 28350, 2018-03-10 16:22:12.
0.11809, 28400, 2018-03-10 16:24:06.
0.1176, 28450, 2018-03-10 16:26:02.
0.117245, 28500, 2018-03-10 16:27:57.
0.119386, 28550, 2018-03-10 16:29:50.
0.124272, 28600, 2018-03-10 16:31:43.
0.119356, 28650, 2018-03-10 16:33:39.
0.13176, 28700, 2018-03-10 16:35:32.
0.120684, 28750, 2018-03-10 16:37:25.
0.118164, 28800, 2018-03-10 16:39:19.
0.146203, 28850, 2018-03-10 16:41:12.
0.120516, 28900, 2018-03-10 16:43:06.
0.118456, 28950, 2018-03-10 16:45:02.
0.11751, 29000, 2018-03-10 16:46:53.
